# x, y positions from /odometry/wheels (rosbag2_2026_04_10-09_19_02)
# Total points: 644
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
3.456842, -6.710284
